Golisano Hall,2400,Tier II Conference Room,75,14,Wed 02:19 PM [01/24/2018],43.0843569,77.6821797
Golisano Hall,2410,Lab,40,0,,43.0843569,77.6821797
Golisano Hall,2425,Off-line Room,35,0,,43.0843569,77.6821797
Golisano Hall,2435,Lab,39,0,,43.0843569,77.6821797
Golisano Hall,2455,General Purpose Classroom,45,13,Tue 07:37 PM [10/03/2017],43.0843569,77.6821797
Golisano Hall,2465,Off-line Room,39,0,,43.0843569,77.6821797
Golisano Hall,2500,Conference Room,15,0,,43.0843569,77.6821797
Golisano Hall,2520,Lab,28,0,,43.0843569,77.6821797
Golisano Hall,2530,Lab,30,0,,43.0843569,77.6821797
Golisano Hall,2535,Lab,0,0,,43.0843569,77.6821797
Golisano Hall,2550,Lab,30,0,,43.0843569,77.6821797
Golisano Hall,2570,Lab,39,0,,43.0843569,77.6821797
Golisano Hall,2590,General Purpose Classroom,44,13,Wed 07:56 PM [10/04/2017],43.0843569,77.6821797
Golisano Hall,2620,Lab,35,0,,43.0843569,77.6821797
Golisano Hall,2650,Lab,56,0,,43.0843569,77.6821797
Golisano Hall,2660,Lab,35,1,,43.0843569,77.6821797
Golisano Hall,2670,Lab,45,0,,43.0843569,77.6821797
Golisano Hall,2690,General Purpose Classroom,44,13,Thu 08:58 PM [10/05/2017],43.0843569,77.6821797
Golisano Hall,3000,Conference Room,20,0,,43.0843569,77.6821797
Golisano Hall,3001,Lab,40,0,,43.0843569,77.6821797
Golisano Hall,3102,Lab,40,0,,43.0843569,77.6821797
Golisano Hall,3410,Lab,,0,,43.0843569,77.6821797
Golisano Hall,3435,General Purpose Classroom,60,10,Thu 09:00 PM [10/05/2017],43.0843569,77.6821797
Golisano Hall,3445,General Purpose Classroom,45,11,Thu 07:00 PM [10/12/2017],43.0843569,77.6821797
Golisano Hall,3455,General Purpose Classroom,25,13,Sat 01:24 PM [10/07/2017],43.0843569,77.6821797
Golisano Hall,3540,Lab,0,0,,43.0843569,77.6821797
Golisano Hall,3550,Lab,27,0,,43.0843569,77.6821797
Golisano Hall,3560,General Purpose Classroom,45,11,Thu 10:15 AM [10/12/2017],43.0843569,77.6821797
Golisano Hall,3576,Lab,25,0,,43.0843569,77.6821797
Golisano Hall,3600,Lab,13,0,,43.0843569,77.6821797
Golisano Hall,3610,Lab,13,0,,43.0843569,77.6821797
Golisano Hall,3620,Lab,,0,,43.0843569,77.6821797
Golisano Hall,3640,Lab,0,0,,43.0843569,77.6821797
Golisano Hall,3660,Lab,0,0,,43.0843569,77.6821797
Golisano Hall,3672,Lab,25,0,,43.0843569,77.6821797
Golisano Hall,3690,Lab,63,0,,43.0843569,77.6821797
Golisano Hall,70 1st F Closet,Closet,0,7,,43.0843569,77.6821797
Golisano Hall,70 3rd F Closet,Closet,0,0,,43.0843569,77.6821797
Golisano Hall,Atrium,Atrium,0,0,,43.0843569,77.6821797
Golisano Hall,Dean's Office,Office,0,1,,43.0843569,77.6821797
Golisano Hall,ICL1,Lab,16,0,,43.0843569,77.6821797
Golisano Hall,ICL2,Lab,16,0,,43.0843569,77.6821797
Golisano Hall,ICL3,Lab,16,0,,43.0843569,77.6821797
Golisano Hall,ICL4,Lab,16,0,,43.0843569,77.6821797
Golisano Hall,ICL5,Lab,16,0,,43.0843569,77.6821797
Golisano Hall,ICL6,Lab,12,0,,43.0843569,77.6821797
George Eastman Hall,1300,Conference Room,20,3,,43.0846499,77.6775347
George Eastman Hall,1310-1318,General Purpose Classroom,20,11,Mon 05:12 PM [12/11/2017],43.0846499,77.6775347
George Eastman Hall,2000,Auditorium,100,8,Mon 09:27 PM [11/13/2017],43.0846499,77.6775347
